dataset,run_dir,condition,mean_symbol_top1_accuracy,mean_symbol_topk_accuracy,mean_symbol_topk_accuracy_ci_lower,mean_symbol_topk_accuracy_ci_upper,mean_symbol_nll,mean_symbol_nll_ci_lower,mean_symbol_nll_ci_upper,mean_symbol_ece,mean_symbol_ece_ci_lower,mean_symbol_ece_ci_upper,mean_family_topk_accuracy,mean_family_topk_accuracy_ci_lower,mean_family_topk_accuracy_ci_upper
omniglot_character_crops,outputs/runs/20260407T150327Z_omniglot_paper_pack_evaluation,A. Fixed Transcript + Heuristic Posterior,0.04488858081741631,0.04488858081741631,0.043603024234955844,0.04626270794824399,17.59380252766564,17.570145345641198,17.61816907047043,0.9551114191825838,0.9538467216060793,0.956408528445266,,,
omniglot_character_crops,outputs/runs/20260407T150327Z_omniglot_paper_pack_evaluation,B. Fixed Transcript + Calibrated Posterior,0.07497689463955638,0.07497689463955638,0.07337235571986034,0.07678681454097351,17.039555304624155,17.00703702418525,17.07112777068926,0.9250231053604435,0.9234631726227153,0.9266661532142124,,,
omniglot_character_crops,outputs/runs/20260407T150327Z_omniglot_paper_pack_evaluation,C. Uncertainty-Aware + Heuristic Posterior,0.04488858081741631,0.09773567467652494,0.09595078558225509,0.09951382470733211,16.764319414186136,16.733892021731023,16.794907117695306,0.460907054754343,0.45988550268063116,0.4618638711454795,,,
omniglot_character_crops,outputs/runs/20260407T150327Z_omniglot_paper_pack_evaluation,D. Uncertainty-Aware + Calibrated Posterior,0.07497689463955638,0.1447165742452249,0.14271346785787636,0.146732516943931,15.954215781775593,15.921442784021162,15.987833758283207,0.5459861174362689,0.5446903290001337,0.5473122514666735,,,
sklearn_digits_crops,outputs/runs/20260407T191829Z_sklearn_digits_paper_pack_evaluation,A. Fixed Transcript + Heuristic Posterior,0.4300804828973844,0.4300804828973844,0.42069081153588195,0.44006958417169684,10.498305474294787,10.30372081854881,10.691423023509344,0.5699195171026157,0.5598591549295774,0.5797325620389,,,
sklearn_digits_crops,outputs/runs/20260407T191829Z_sklearn_digits_paper_pack_evaluation,B. Fixed Transcript + Calibrated Posterior,0.3487592219986586,0.3487592219986586,0.34037558685446007,0.3573105298457411,11.99629845900587,11.84495483787011,12.138376144153726,0.6512407780013415,0.6417546948356807,0.6587064050972501,,,
sklearn_digits_crops,outputs/runs/20260407T191829Z_sklearn_digits_paper_pack_evaluation,C. Uncertainty-Aware + Heuristic Posterior,0.4300804828973844,0.9039235412474849,0.8965459423205902,0.910638832997988,2.8818125247541744,2.757103160253795,3.001987516601166,0.3711553880336278,0.3662823157562072,0.37540200221476244,,,
sklearn_digits_crops,outputs/runs/20260407T191829Z_sklearn_digits_paper_pack_evaluation,D. Uncertainty-Aware + Calibrated Posterior,0.3487592219986586,0.7146210596914823,0.7032193158953722,0.7251844399731723,9.389185062982826,9.248688173334772,9.534395520623452,0.6374946697529623,0.629587392229391,0.6451467002845792,,,
kuzushiji49_balanced_crops,outputs/runs/20260407T201933Z_kuzushiji49_balanced_subset_paper_pack_evaluation,A. Fixed Transcript + Heuristic Posterior,0.45183673469387753,0.45183673469387753,0.4435952380952381,0.4598639455782313,10.097540505766545,9.950926924335086,10.259254032977909,0.5481632653061225,0.5403690476190476,0.5556853741496599,,,
kuzushiji49_balanced_crops,outputs/runs/20260407T201933Z_kuzushiji49_balanced_subset_paper_pack_evaluation,B. Fixed Transcript + Calibrated Posterior,0.5365986394557823,0.5365986394557823,0.5288435374149659,0.5439166666666666,8.5361685188982,8.401302820594264,8.688452411919208,0.46340136054421766,0.4555425170068027,0.471156462585034,,,
kuzushiji49_balanced_crops,outputs/runs/20260407T201933Z_kuzushiji49_balanced_subset_paper_pack_evaluation,C. Uncertainty-Aware + Heuristic Posterior,0.45183673469387753,0.7052380952380952,0.6973078231292518,0.7118758503401361,6.220571510511291,6.090539169720727,6.351326236822374,0.416944875623654,0.4143726018152228,0.41962173975381656,,,
kuzushiji49_balanced_crops,outputs/runs/20260407T201933Z_kuzushiji49_balanced_subset_paper_pack_evaluation,D. Uncertainty-Aware + Calibrated Posterior,0.5365986394557823,0.7727891156462585,0.766734693877551,0.7792874149659863,4.8603096366657015,4.743534420106908,4.967270649346682,0.37309680753859126,0.37004690804943624,0.37619789203400805,,,
