axis,bucket,sample_count,mean_grouped_topk_delta,mean_downstream_exact_delta,grouped_topk_rescue_rate,downstream_exact_rescue_rate
dataset,historical_newspapers,288,0.03125,0.024305555555555556,0.1284722222222222,0.1076388888888889
dataset,scadsai,288,0.13194444444444445,0.006944444444444444,0.1909722222222222,0.04513888888888889
method_family,raw_uncertainty,288,0.18055555555555555,-0.027777777777777776,0.2326388888888889,0.06944444444444445
method_family,conformal,288,-0.017361111111111112,0.059027777777777776,0.08680555555555555,0.08333333333333333
sequence_length_bin,short_or_equal_median,496,0.08870967741935484,0.014112903225806451,0.1693548387096774,0.07459677419354839
sequence_length_bin,longer_than_median,80,0.0375,0.025,0.1,0.0875
candidate_set_bin,small_or_equal_median,306,0.006535947712418301,0.042483660130718956,0.09803921568627451,0.08169934640522876
candidate_set_bin,larger_than_median,270,0.16666666666666666,-0.014814814814814815,0.22962962962962963,0.07037037037037037
support_regime,limited_support,96,0.03125,0.020833333333333332,0.17708333333333334,0.21875
support_regime,high_support,480,0.09166666666666666,0.014583333333333334,0.15625,0.04791666666666667
ambiguity_regime,high,144,0.10416666666666667,0.027777777777777776,0.19444444444444445,0.0763888888888889
ambiguity_regime,low,288,0.06597222222222222,-0.006944444444444444,0.14930555555555555,0.06944444444444445
ambiguity_regime,medium,144,0.09027777777777778,0.04861111111111111,0.14583333333333334,0.09027777777777778
label_quality_tier,cluster_distance:original_vs_gold,30,0.05555555555555554,,,
label_quality_tier,calibrated_classifier:original_vs_gold,30,0.05555555555555558,,,
