dataset_label,posterior_strategy,review_budget_k,effort_adjusted_utility,review_load_proxy,rescue_per_review_item,selector_shortlist_rate,selector_rescue_rate,selector_direct_defer_rate,effort_adjusted_regret_to_best_profile,gap_to_rescue_first_effort,gap_to_shortlist_first_effort,effort_adjusted_gap_to_best_fixed
historical_newspapers_real_grouped,cluster_distance,2,0.655952380952381,1.2502314814814814,0.6628968253968254,0.8472222222222222,0.1527777777777778,0.0,0.04583333333333328,0.34345238095238095,-0.04583333333333328,-0.06666666666666665
historical_newspapers_real_grouped,calibrated_classifier,2,0.8080026455026454,1.0800925925925928,0.8080026455026454,0.25,0.75,0.0,-0.02083333333333337,0.02962962962962956,0.02083333333333337,-0.011441798941798975
historical_newspapers_real_grouped,cluster_distance,3,0.6476190476190475,1.3891203703703703,0.6522486772486773,0.8472222222222222,0.1527777777777778,0.0,0.05185185185185193,0.4007412340745673,-0.05185185185185193,-0.07500000000000007
historical_newspapers_real_grouped,calibrated_classifier,3,0.8080026455026454,1.0800925925925928,0.8080026455026454,0.25,0.75,0.0,-0.021604938271604812,0.02962962962962956,0.021604938271604812,-0.011441798941798975
historical_newspapers_real_grouped,cluster_distance,5,0.6493793243793243,1.462037037037037,0.6493793243793243,0.8472222222222222,0.1527777777777778,0.0,0.0355413105413106,0.3910313848732966,-0.0355413105413106,-0.07323972323972328
historical_newspapers_real_grouped,calibrated_classifier,5,0.8052248677248677,1.0905092592592593,0.8052248677248677,0.2222222222222222,0.7777777777777778,0.0,-0.012654320987654177,0.026851851851851793,0.012654320987654177,-0.014219576719576743
historical_newspapers_real_downstream,cluster_distance,2,0.579563492063492,1.4363425925925926,0.5911375661375661,0.7777777777777778,0.2222222222222222,0.027777777777777776,0.03194444444444444,0.2601190476190476,-0.03194444444444444,-0.1430555555555556
historical_newspapers_real_downstream,calibrated_classifier,2,0.8080026455026454,1.0800925925925928,0.8080026455026454,0.25,0.75,0.0,-0.02083333333333337,0.02962962962962956,0.02083333333333337,-0.011441798941798975
historical_newspapers_real_downstream,cluster_distance,3,0.5712301587301587,1.6585648148148147,0.5747023809523809,0.7777777777777778,0.2222222222222222,0.027777777777777776,0.031018518518518556,0.29474306557639884,-0.031018518518518556,-0.1513888888888889
historical_newspapers_real_downstream,calibrated_classifier,3,0.8080026455026454,1.0800925925925928,0.8080026455026454,0.25,0.75,0.0,-0.021604938271604812,0.02962962962962956,0.021604938271604812,-0.011441798941798975
historical_newspapers_real_downstream,cluster_distance,5,0.6287003120336453,1.4738425925925926,0.6287003120336453,0.7916666666666666,0.20833333333333334,0.0,0.040942545109211914,0.28380886089219415,-0.040942545109211914,-0.09391873558540231
historical_newspapers_real_downstream,calibrated_classifier,5,0.8052248677248677,1.0905092592592593,0.8052248677248677,0.2222222222222222,0.7777777777777778,0.0,-0.012654320987654177,0.026851851851851793,0.012654320987654177,-0.014219576719576743
scadsai_real_grouped,cluster_distance,2,0.16924603174603173,2.4027777777777777,0.19470899470899472,0.3055555555555556,0.6944444444444444,0.0,0.010648148148148157,0.051190476190476175,-0.010648148148148157,-0.026388888888888906
scadsai_real_grouped,calibrated_classifier,2,0.1853835978835979,1.9548611111111112,0.27764550264550264,0.06944444444444445,0.9305555555555556,0.0,0.004298941798941774,0.0,-0.004298941798941774,-0.09239417989417989
scadsai_real_grouped,cluster_distance,3,0.1583664021164021,3.013888888888889,0.1734126984126984,0.3611111111111111,0.6388888888888888,0.0,0.011111111111111127,0.06230158730158729,-0.011111111111111127,-0.03371913580246913
scadsai_real_grouped,calibrated_classifier,3,0.1930355138688472,2.5729166666666665,0.23260782427449092,0.09722222222222222,0.9027777777777778,0.0,0.007651915985249336,0.0028860028860029363,-0.007651915985249336,-0.08474226390893058
scadsai_real_grouped,cluster_distance,5,0.20025352733686066,2.4756944444444446,0.20025352733686066,0.6527777777777778,0.3472222222222222,0.0,0.029530423280423296,0.08309082892416227,-0.029530423280423296,-0.048820546737213366
scadsai_real_grouped,calibrated_classifier,5,0.22117789617789615,2.7444444444444445,0.22117789617789615,0.125,0.875,0.0,0.001986131152797832,-0.0007122507122507282,-0.001986131152797832,-0.056599881599881635
scadsai_real_downstream,cluster_distance,2,0.16924603174603173,2.4027777777777777,0.19470899470899472,0.3055555555555556,0.6944444444444444,0.0,0.010648148148148157,0.051190476190476175,-0.010648148148148157,-0.026388888888888906
scadsai_real_downstream,calibrated_classifier,2,0.1853835978835979,1.9548611111111112,0.27764550264550264,0.06944444444444445,0.9305555555555556,0.0,0.004298941798941774,0.0,-0.004298941798941774,-0.09239417989417989
scadsai_real_downstream,cluster_distance,3,0.1583664021164021,3.013888888888889,0.1734126984126984,0.3611111111111111,0.6388888888888888,0.0,0.011111111111111127,0.06230158730158729,-0.011111111111111127,-0.03371913580246913
scadsai_real_downstream,calibrated_classifier,3,0.1930355138688472,2.5729166666666665,0.23260782427449092,0.09722222222222222,0.9027777777777778,0.0,0.007651915985249336,0.0028860028860029363,-0.007651915985249336,-0.08474226390893058
scadsai_real_downstream,cluster_distance,5,0.20951278659611994,2.4131944444444446,0.20951278659611994,0.6805555555555556,0.3194444444444444,0.0,0.027215608465608443,0.09235008818342154,-0.027215608465608443,-0.039561287477954094
scadsai_real_downstream,calibrated_classifier,5,0.22117789617789615,2.7444444444444445,0.22117789617789615,0.1527777777777778,0.8472222222222222,0.0,0.001986131152797832,-0.0007122507122507282,-0.001986131152797832,-0.056599881599881635
